,full_text
0,Bismillah  Keakraban Pak Anies dengan  awak media 👍  #AMINAjaDulu https://t.co/mRizLU92vU
1,Setuju Up Grade 40 Kota ?? 👉 Retweet https://t.co/fPb4FxuqCm
2,Minimal kalo Pak Anies jadi presiden  mata gue nggak sepet lagi setiap liat desain visual pemerintah. Keliatan banget tim brandingnya 01 itu berkelas.
3,pak Anies di Pasar Tempat Pelelangan ikan di Lamongan Jawa timur...Nelayan  Buruh  Petani  Akedemisi Guru  ibu Rumah tangga   UMKM serta berbagai kalangan masyarakat penuh harap negeri ini dapat mewujudkan perubahan hadirnya keadilan dan kesetaraan https://t.co/fsLe2n1Xgr
4,Mantul ☝️dapur Amin Masyarakat Ibukota DKI  Jakarta   Ber Ramai2 Bergotong Royong  Ber Sedekah   Jum'at Berkah   untuk di Bagi2kan  Kepada Fakir Miskin   Koordinator nya Jum'at Berkah di Ibukota Jakarta   Dari Team Success  ReLawan  Anies Baswedan - Cak Imin ( AMIN).  🙏🙏💞❤️ https://t.co/IuvTxDiP4z
5,"Pas di Pasar Ikan tadi pagi juga banyak yg teriak Prabowo  terus Pak Anies bilang  Anda mau pilih 01  02  03 bebass. Saya kesini bukan mau kampanye. Saya mau tau masalah biar kalau bikin kebijakan itu nyambung"". Kemudian hening😅🤣🤣 https://t.co/4XrxxDCaJs"""
6,Pasangan AMIN Dwitunggal No 1 👍  Pasangan AMIN Anies Baswedan - Muhaimin Iskandar Hadiri acara Halaqah &amp; Dialog kebangsaan bersama Tokoh Tuban - Bojonegoro  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/QNCbLKDl7u
7,*Ketua Lembaga Kerapatan Adat Minangkabau (LKAM) di Sumbar menyerukan kpd seluruh orang Minang dimanapun berada agar satukan suara utk Anies...                 *Rancak Bana  Bravo Uda Jo Uni🤲🙏🇮🇩* https://t.co/DsmHwjzLeA
8,Maluku merupakan salah satu pulau di timur Indonesia yang terkenal dengan hasil lautnya. Dari sana  kami bertekad untuk melakukan pengelolaan yang bisa menjadi manfaat untuk menyejahterakan masyarakat Maluku sendiri. Berikut cuplikan visi AMIN untuk membangkitkan ekonomi maritim… https://t.co/CoQPfvZoal
9,Beberapa hari ini di timeline saya kok adanya seputar Anies saja ya?  Prabowo &amp; Ganjar apakah tidak ada isu/berita baru setelah gelombang pasca debat cawapres surut mereda?  Apakah echo chamber aja atau memang ga ada isu/berita baru?
