all_slang,tokens
akhir,['akhir']
tahun,['tahun']
ini,['ini']
aku,['aku']
kulit,['kulit']
wajah,['wajah']
aku,['aku']
dari,['dari']
banyak,['banyak']
bagus,['bagus']
kan,['kan']
kulit,['kulit']
wajah,['wajah']
di,['di']
hajar,['hajar']
terusan,['terusan']
pakai,['pakai']
ini,['ini']
itu,['itu']
setelah,['setelah']
rehat,['rehat']
aku,['aku']
mulai,['mulai']
lagi,['lagi']
dari,['dari']
dan,['dan']
rombongan,['rombongan']
akhir,['akhir']
tahun,['tahun']
mau,['mau']
nomor,['nomor']
berapa,['berapa']
pemenang,['pemenang']
ya,['ya']
dari,['dari']
betul,['betul']
bila,['bila']
datang,['datang']
tak,['tak']
pernah,['pernah']
bagi,['bagi']
nak,['nak']
rasa,['rasa']
jerawat,['jerawat']
bagi,['bagi']
dia,['dia']
bawa,['bawa']
kawan,['kawan']
kawan,['kawan']
lain,['lain']
akan,['akan']
nak,['nak']
yang,['yang']
selalu,['selalu']
pakai,['pakai']
edisi,['edisi']
kalo,['kalo']
lagi,['lagi']
liburan,['liburan']
biasanya,['biasanya']
bawa,['bawa']
mungkin,['mungkin']
sekaligus,['sekaligus']
juga,['juga']
habis,['habis']
beberapa,['beberapa']
sama,['sama']
tapi,['tapi']
aku,['aku']
orang,['orang']
pemenang,['pemenang']
gampang,['gampang']
aku,['aku']
domisili,['domisili']
kamu,['kamu']
tanggal,['tanggal']
Januari,['Januari']
aku,['aku']
tanggung,['tanggung']
bisa,['bisa']
berkembang,['berkembang']
jadi,['jadi']
jualan,['jualan']
jujur,['jujur']
deh,['deh']
siapa,['siapa']
yang,['yang']
rutin,['rutin']
tapi,['tapi']
masih,['masih']
belum,['belum']
maksimal,['maksimal']
mau,['mau']
cerita,['cerita']
waktu,['waktu']
lalu,['lalu']
dan,['dan']
terlalu,['terlalu']
mempan,['mempan']
aku,['aku']
berbagai,['berbagai']
hal,['hal']
ternyata,['ternyata']
tau,['tau']
yang,['yang']
paling,['paling']
ampuh,['ampuh']
pas,['pas']
mau,['mau']
iklan,['iklan']
si,['si']
pura,['pura']
telpon,['telpon']
kabur,['kabur']
dan,['dan']
balik,['balik']
lagi,['lagi']
pas,['pas']
selesai,['selesai']
jadi,['jadi']
ba,['ba']
yang,['yang']
di,['di']
produk,['produk']
banget,['banget']
ada,['ada']
yang,['yang']
sebelum,['sebelum']
beli,['beli']
aja,['aja']
konsultasi,['konsultasi']
dokter,['dokter']
gratis,['gratis']
yang,['yang']
jam,['jam']
jangan,['jangan']
salah,['salah']
ini,['ini']
dengan,['dengan']
premium,['premium']
formulasi,['formulasi']
dokter,['dokter']
tapi,['tapi']
super,['super']
dan,['dan']
ada,['ada']
plug,['plug']
bilang,['bilang']
minta,['minta']
uang,['uang']
buat,['buat']
beli,['beli']
sama,['sama']
parfum,['parfum']
dong,['dong']
uang,['uang']
kakak,['kakak']
kasi,['kasi']
habis,['habis']
depan,['depan']
aja,['aja']
ada,['ada']
uang,['uang']
parfum,['parfum']
kakak,['kakak']
menit,['menit']
kemudian,['kemudian']
buat,['buat']
jajan,['jajan']
sama,['sama']
sama,['sama']
beli,['beli']
cukup,['cukup']
seorang,['seorang']
kakak,['kakak']
tidak,['tidak']
ini,['ini']
video,['video']
bagus,['bagus']
untuk,['untuk']
tahu,['tahu']
bahwa,['bahwa']
pori,['pori']
muka,['muka']
memang,['memang']
bisa,['bisa']
salah,['salah']
satu,['satu']
alasan,['alasan']
pertama,['pertama']
menghemat,['menghemat']
jadi,['jadi']
ke,['ke']
dari,['dari']
buat,['buat']
laser,['laser']
di,['di']
klinik,['klinik']
instan,['instan']
jauh,['jauh']
untuk,['untuk']
memutihkan,['memutihkan']
kulit,['kulit']
gelap,['gelap']
dan,['dan']
tidak,['tidak']
merata,['merata']
person,['person']
malas,['malas']
rajin,['rajin']
nak,['nak']
cantik,['cantik']
cantik,['cantik']
lagi,['lagi']
nak,['nak']
pakai,['pakai']
pun,['pun']
malas,['malas']
kasih,['kasih']
penjelasan,['penjelasan']
singkat,['singkat']
aja,['aja']
semuanya,['semuanya']
emang,['emang']
aku,['aku']
pakai,['pakai']
mungkin,['mungkin']
aku,['aku']
bikin,['bikin']
