,userName,content,score
0,Gadri Bandu,Saya kasih bintang tiga dulu soalnga gemenya bagus tapi ketika mau update terlalu berat game nya tidak rama terlalu menghabiskan banyak kuota dan baterei bagaimana kedepan nanti ruang penyimpanan bisa full karena satu game. Jika kedepan masalah ini tidak bisa di atasi saya berhenti menjadi player,3
1,070_Putri Azzahra Nurdin,"Bagus bgtt. Dari segi story, grafik sampe puzzle nya bener2 bagus, pilihan character nya juga banyak, world nya luas bgtt. Tapi kurangnya cuma 1 di ping nya yg kuning terus, kalo pake jaringan yg kurang stabil pas ngedomain malah muter terus, semoga bisa diperbaiki, aku pengen ngerasain maen genshin ping ijo hehe",5
2,Novrealita Setiyana,"Sejauh ini aku main aku suka banget sama model gambar nya, bukan gamers tapi cukup menarik buat aku. Sayangnya buat dapat karakter lain tuh susah sekali, mana primogennya juga agak susah untuk didapatkan. Berharap banget ada hadiah karakter habis menyelesaikan misi yg agak panjang gt atau gimana soalnya bener bener susah buat dapat karakter :(, dan buat level up in karakter itu loh agak susah jadi makin naik level dunia level karakternya gak nuntut juga buat bisa naik akhirnya gampang mati wkwk",5
3,auah gelap,"Semuanya sudah sempurna tapi Sangat disayangkan, game besar seperti ini tidak support controller untuk android & tidak ada nya mic dalam game, dua masalah itu memang bisa diatasi dengan app pihak ke3 tapi itu jadi semakin berat buat device kita, mungkin akan lebih ringan jika semuanya ada dalam game itu sendiri. Sekian :)",3
4,Adi Nugroho,"Grafik bagus,story bagus,terutama archon quest,paling ditunggu karna penasaran.untuk gameplay ga terlalu sulit,termasuk mudah kalo udh paham reaksi elemen dll.overall game bagus dr segi gameplay,story sama grafik.apalagi musik background nya,bikin serasa masuk ke dunia teyvat,tiap region beda² jenis musiknya.banyak event juga yang bikin player free to play bisa dapet primogem.cuma saya minta tolong,tambahin opsi buat pake controller di smartphone android",5
5,Marissa,"Sebenarnya dari segi gameplay dan story bagus. Tapi untuk grafik cuma bisa pilih yang paling rendah, padahal HP sudah mendukung, pakai hp gaming Tecno Pova 5. dari RAM juga mendukung. Dan untuk ukuran apa tidak bisa diperkecil lagi? Apalagi ada update baru, jadi tambah 5GB-an lagi 😭 Ini game mobile loh tapi kok kapasitas seperti game PC",4
6,rifki ilmy fahlevi,"Graphic bagus - desain character bagus - tiap character punya lore atau cerita sendiri yang unik - open world, pertualangan dan puzzle yang oke - bgm yang bagus. Minta tolong juga untuk end game contentnya ditambahkan. Looking forward for update 3.0",5
7,Crazy Carrot,"Sebenarnya pengen ngasih ⭐5, tapi masih merasa tidak puas sih sama ukuran game nya yang sangat besar ini. Tidak ramah untuk ukuran game mobile. Dari segi grafik, cerita dan karakter emang bagus sih. Pertimbangkan lagi orang-orang yang ingin bermain tapi ragu karena liat minimum spesifikasi HP yang harus digunakan dan juga ukuran game yang membutuhkan penyimpanan yang sangat luas. Apalagi di masa depan pasti masih akan ada banyak update-an lainnya, dan akan terus menambah data.",4
8,Hendri Hermawan,"Gameplay grafik sudah sangat bagus , mungkin untuk kedepannya bisa ditambahkan fitur trade item , weapon , dan Artefak karna fitur tersebut bisa sangat membantu , karena banyak player yg mempunyai barang berlebih dan bisa mereka tukar dengan player lain yang juga membutuhkan item yang kita punya. Terimakasih Hoyoverse",5
9,Tegar Putra,"Untuk gameplay, grafis, dan tingkat kesulitan udah bagus dan pas, cuma yang agak disayangkan itu genshin kan katanya game yg fokus ke story line kan, tapi entah mengapa storynya b aja dibanding game mihoyo lain. Sama tolong tambahin fitur skip story+log biar kalau ada player baru hiatus terus mau kejar hadiah event itu bisa langsung di skip storynya tanpa harus klik klik satu satu",4
10,Radhiya Salima,"Bagus banget, dari grafik, alur cerita, Character, voice line, udah bagus semua kok. Cuman menurutku yg kurang itu di penyimpanannya, terlalu banyak makan memori. Selain itu menurutku bagus2 aja, sekian",4
11,Damar Vikryansyah,"Game ini sangat bagus untuk animasi dan beberapa tempat yang menarik, tapi saya tahun ini benar benar kecewa dengan gacha. Saya sudah mengumpulkan primogem dengan susah payah, saya pengen gacha hu tao.. Kenapa malah dapet karakter bintang 4 jadi kecewa tolong perbaiki kapan saya rate on nya. Benar benar sakit hati dari tadi saya mau gacha gak dapet karakter bintang 5 sama sekali, kebanyakan top up dan untung nya doang game muhoyo",3
12,Burhanudin Yusuf,"Story bagus, cuma Transisi scene pada Quest Archon awalnya(sebelum fontaine) agak kaku, tapi sekarang keliatan peningkatannya di Fontaine. Menurut ane kadang ada penjelasan dalam Quest Archon yang panjang lebar, lebih bagus kalau kalimatnya bisa dipangkas jadi beberapa scene.",5
13,Shabrina LadyaKazindraa,"Update 4.1 makin' parah.. kemaren suka force close tapi kalo udh main agak Lamaan.. Sekarang baru main beberapa menit (intinya mainnya belum lama) udah force close.. Bentar' login karna force close terus.. +lag issue (ini udh pasti) tapi minimal force close itu gk bentar' keluar sendiri dari game lah.. kesel tau gk? Apalagi lagi fokus lawan musuh yg susah, udh mau selesai tiba' keluar apk sendiri..",2
14,Biwa Biw,Apa bisa setiap update nya bisa dioptimalkan agar tidak terlalu banya memakan penyimpanan telepon? Setiap update-nya sekarang mulai cukup besar. Agak sedikit khawatir dengan ruangan penyimpanan telepon nyg tidak mencukupi.,5
